date,Open,High,Low,close_price,Volume,MA7,MA20,MA50,MA100,RowNumber,trend,signal_for_swing,signal_for_investing
31-08-2023,932.049988,959.849976,920.700012,928.65,4440751,969.76,978.34,988.24,965.47,113,Downtrend for long term,Hold,Hold
01-09-2023,928.599976,957,905.150024,949.1,4096797,966.56,973.99,987.69,965.97,114,Downtrend for long term,Hold,Hold
04-09-2023,952.900024,964,942,959.2,4893856,963.07,971.33,987.37,966.12,115,Downtrend for long term,Hold,Hold
05-09-2023,959.200012,968.5,951.700012,962.1,5108072,960.59,971.14,987.42,966.32,116,Downtrend for long term,Hold,Hold
06-09-2023,963,1015,954,1006.1,7453688,964.31,972.23,988.17,966.97,117,Uptrend for long term,Hold,Hold
07-09-2023,1009.849976,1015.150024,995,1002.65,5105272,968.33,973.79,989.03,967.37,118,Uptrend for long term,Hold,Hold
08-09-2023,1002.650024,1012.349976,998,1001.2,5254899,972.71,975.16,989.92,967.86,119,Uptrend for long term,Hold,Hold
11-09-2023,1017.950012,1025.849976,1002.799988,1014.65,7208880,985,977.32,991.3,968.65,120,Uptrend for long term,Short term Buy,Hold
12-09-2023,1021.950012,1026.949951,985,1004.8,7833978,992.96,980,992.54,969.37,121,Uptrend for long term,Hold,Hold
13-09-2023,1002.75,1002.900024,967,985.8,962195,996.76,981.87,993.33,970.06,122,Uptrend for long term,Hold,Hold
14-09-2023,990.950012,999.950012,982,983.8,466895,999.86,984.38,994.05,971.03,123,Uptrend for long term,Hold,Hold
15-09-2023,990,1012,983.799988,1006.45,1393292,999.91,984.97,994.93,971.78,124,Uptrend for long term,Hold,Hold
18-09-2023,1015,1029.949951,1001,1004.95,5210864,1000.24,984.21,996.01,972.59,125,Uptrend for long term,Hold,Hold
20-09-2023,1004.950012,1025.25,988.150024,1008.95,7657175,1001.34,983.91,997,973.51,126,Uptrend for long term,Hold,Hold
21-09-2023,1017.450012,1026,1007.900024,1023.45,8252497,1002.6,986.5,998.17,974.23,127,Uptrend for long term,Hold,Hold
22-09-2023,1025,1025.449951,999,1018.8,6840537,1004.6,988.26,999.45,974.67,128,Uptrend for long term,Hold,Hold
25-09-2023,1021.950012,1021.950012,1002.400024,1013.8,4649263,1008.6,989.98,1000.79,975.39,129,Uptrend for long term,Hold,Hold
26-09-2023,1016.599976,1016.599976,999,1012.3,5535950,1012.67,991.59,1001.73,976.06,130,Uptrend for long term,Hold,Hold
27-09-2023,1000,1020,998,1018.75,5379612,1014.43,993.8,1002.8,976.84,131,Uptrend for long term,Hold,Hold
28-09-2023,1020,1021.25,1001,1012.45,3914462,1015.5,995.9,1003.57,977.79,132,Uptrend for long term,Hold,Hold
29-09-2023,1005.049988,1011.950012,984,987.15,895626,1012.39,998.82,1003.72,978.63,133,Uptrend for long term,Hold,Hold
03-10-2023,995.099976,997.950012,970,973.95,500850,1005.31,1000.07,1003.5,979.35,134,Downtrend for long term,Hold,Hold
04-10-2023,975.049988,997.400024,965.25,971.9,755636,998.61,1000.7,1003.03,979.93,135,Downtrend for long term,Hold,Hold
05-10-2023,978.950012,982.099976,955,959.65,451208,990.88,1000.58,1002.44,980.57,136,Downtrend for long term,Hold,Hold
06-10-2023,965,968.950012,958.549988,961.25,359021,983.59,998.34,999.9,981.5,137,Downtrend for long term,Hold,Hold
09-10-2023,955,955,935.650024,938.95,574852,972.19,995.15,995.87,982.15,138,Downtrend for long term,Hold,Hold
10-10-2023,941.049988,949,938,939.75,356178,961.8,992.08,992.28,982.79,139,Downtrend for long term,Hold,Hold
11-10-2023,949.650024,970.849976,946.299988,962.45,775846,958.27,989.47,989.68,983.81,140,Downtrend for long term,Hold,Hold
12-10-2023,965.950012,969.950012,945.150024,948.65,353632,954.66,986.66,986.79,984.33,141,Downtrend for long term,Hold,Hold
13-10-2023,949.950012,952.5,941.700012,948.9,290187,951.37,984.82,984.02,984.4,142,Downtrend for long term,Hold,Buy
16-10-2023,950,956.599976,936,938.8,376852,948.39,982.57,981.75,983.9,143,Downtrend for long term,Hold,Hold
17-10-2023,949.950012,958.450012,945.200012,948.65,363315,946.59,979.68,980,983.54,144,Downtrend for long term,Short term Sell,Sell
18-10-2023,949.400024,953.950012,937,939.05,281564,946.61,976.38,978.53,983.22,145,Downtrend for long term,Hold,Hold
19-10-2023,937,942.950012,922.349976,933,291740,945.64,972.58,977.88,982.92,146,Downtrend for long term,Hold,Hold
20-10-2023,938.5,946.799988,915.75,920.15,625755,939.6,967.42,976.59,982.34,147,Downtrend for long term,Hold,Hold
23-10-2023,928,929.950012,875,880.8,695285,929.91,960.52,974.78,981.48,148,Downtrend for long term,Hold,Hold
25-10-2023,881,899,863.75,876.15,464127,919.51,953.64,972.83,980.47,149,Downtrend for long term,Hold,Hold
26-10-2023,866.5,869.599976,815.549988,848.15,1138154,906.56,945.43,970.36,979.01,150,Downtrend for long term,Hold,Hold
27-10-2023,852.849976,896.599976,852.849976,870.9,902416,895.46,938.04,968.76,977.88,151,Downtrend for long term,Hold,Hold
30-10-2023,875,939.799988,868.450012,915.25,2041633,892.06,933.18,968.09,977.16,152,Downtrend for long term,Hold,Hold
31-10-2023,920,933.349976,904,911.65,713136,889.01,929.4,967.65,976.36,153,Downtrend for long term,Hold,Hold
01-11-2023,914.700012,921.700012,876,880.25,551732,883.31,924.72,965.36,975.3,154,Downtrend for long term,Hold,Hold
02-11-2023,894,912.950012,884,892.1,510410,884.92,920.73,962.81,974.46,155,Downtrend for long term,Hold,Hold
03-11-2023,898.950012,907.299988,897,902.7,286930,888.71,917.88,960.56,973.85,156,Downtrend for long term,Hold,Hold
06-11-2023,909.900024,929.799988,908,926.5,619386,899.91,916.14,959.66,973.51,157,Downtrend for long term,Hold,Hold
07-11-2023,934.700012,953.25,916.849976,932.15,919787,908.66,915.8,958.63,973.28,158,Downtrend for long term,Hold,Hold
08-11-2023,934.950012,950.599976,932,946.65,492815,913.14,916.15,957.97,973.17,159,Downtrend for long term,Hold,Hold
09-11-2023,953,953.700012,933.5,938.1,359924,916.92,914.93,957.13,972.92,160,Downtrend for long term,Short term Buy,Hold
10-11-2023,942.799988,946.200012,927.049988,938.7,311274,925.27,914.43,956.42,972.56,161,Downtrend for long term,Hold,Hold
13-11-2023,942.049988,946.900024,932.599976,940.15,341112,932.14,913.99,955.81,972.36,162,Downtrend for long term,Hold,Hold
15-11-2023,952,954.900024,940.049988,950.15,412643,938.91,914.56,956.24,972.24,163,Downtrend for long term,Hold,Hold
16-11-2023,948,949.5,939.349976,941.35,353018,941.04,914.2,956.08,971.88,164,Downtrend for long term,Hold,Hold
17-11-2023,941.349976,943.650024,930,936.1,341144,941.6,914.05,955.62,971.5,165,Downtrend for long term,Hold,Hold
20-11-2023,935,938,915.150024,926.2,472979,938.68,913.71,954.9,971.16,166,Downtrend for long term,Hold,Hold
21-11-2023,926.200012,936.849976,920,926.6,377892,937.04,914.03,953.31,970.74,167,Downtrend for long term,Hold,Hold
22-11-2023,925.950012,929.950012,910,914.45,288736,933.57,915.71,951.55,970.29,168,Downtrend for long term,Hold,Hold
23-11-2023,920,935,910.200012,930.7,350091,932.22,918.44,950.14,970.03,169,Downtrend for long term,Hold,Hold
24-11-2023,936,952.799988,920,937.9,738018,930.47,922.93,948.6,969.95,170,Downtrend for long term,Hold,Hold
28-11-2023,955,1099,955,1052.8,11565049,946.39,932.02,949.56,971.05,171,Uptrend for long term,Hold,Hold
29-11-2023,1089.650024,1124.900024,1021.5,1041.7,6654207,961.48,938.35,950.68,972.01,172,Uptrend for long term,Hold,Hold
30-11-2023,1040,1040,1006.25,1028.8,4253647,976.14,944.2,951.58,972.81,173,Uptrend for long term,Hold,Hold
01-12-2023,1042,1045,1020,1026.5,1181792,990.41,951.52,951.98,973.46,174,Uptrend for long term,Hold,Hold
04-12-2023,1160,1184,1092.550049,1123.75,5999345,1020.31,963.1,954.36,975.18,175,Uptrend for long term,Hold,Buy
05-12-2023,1126,1348.5,1096.099976,1348.5,16961888,1079.99,985.39,961.15,979.07,176,Uptrend for long term,Hold,Hold
06-12-2023,1474.5,1608,1463.25,1563.45,19688066,1169.36,1017.24,971.95,985.06,177,Uptrend for long term,Hold,Hold
07-12-2023,1580,1700,1565,1624.15,10884637,1250.98,1051.84,984.06,991.75,178,Uptrend for long term,Hold,Hold
08-12-2023,1645,1668.800049,1495,1550.3,5410307,1323.64,1082.02,994.79,997.79,179,Uptrend for long term,Hold,Hold
11-12-2023,1554.400024,1579,1475,1530,2705685,1395.24,1111.61,1005.14,1003.43,180,Uptrend for long term,Hold,Hold
12-12-2023,1532.849976,1539.900024,1453.5,1463.9,2007520,1457.72,1137.87,1014.04,1008.42,181,Uptrend for long term,Hold,Hold
13-12-2023,1459,1459.949951,1375,1427.7,2826807,1501.14,1162.25,1022.35,1012.96,182,Uptrend for long term,Hold,Hold
14-12-2023,1435.949951,1535,1435.949951,1508.3,3437936,1523.97,1190.16,1032.77,1018.25,183,Uptrend for long term,Hold,Hold
15-12-2023,1527.650024,1541,1501.400024,1526.65,1698622,1518.71,1219.42,1043.83,1023.66,184,Uptrend for long term,Hold,Hold
18-12-2023,1518.949951,1544.849976,1500.25,1524.65,1077675,1504.5,1248.85,1054.88,1028.95,185,Uptrend for long term,Hold,Hold
19-12-2023,1530.5,1555,1506,1531.8,965109,1501.86,1279.13,1066.32,1034.38,186,Uptrend for long term,Hold,Hold
20-12-2023,1539.75,1569.400024,1385,1452.15,2233664,1490.74,1305.41,1076.14,1038.02,187,Uptrend for long term,Hold,Hold
21-12-2023,1390.050049,1549,1390.050049,1519.55,2134995,1498.69,1335.66,1087.75,1041.81,188,Uptrend for long term,Hold,Hold
22-12-2023,1543,1546,1500,1533.1,1062643,1513.74,1365.78,1099.62,1045.95,189,Uptrend for long term,Hold,Hold
26-12-2023,1555,1632,1551.550049,1600.2,2810862,1526.87,1398.9,1112.38,1051.03,190,Uptrend for long term,Hold,Hold
27-12-2023,1644,1657.949951,1570.050049,1601.1,2120712,1537.51,1426.31,1125.43,1056.11,191,Uptrend for long term,Hold,Hold
28-12-2023,1605.099976,1608.400024,1555,1561,1156469,1542.7,1452.28,1137.67,1060.85,192,Uptrend for long term,Hold,Hold
29-12-2023,1570,1616.5,1545,1597,1160954,1552.01,1480.69,1150.83,1066.29,193,Uptrend for long term,Hold,Hold
01-01-2024,1598,1620,1585,1598.4,912757,1572.91,1509.28,1163.83,1071.91,194,Uptrend for long term,Hold,Hold
02-01-2024,1598.800049,1616,1565.699951,1603.55,1031651,1584.91,1533.27,1177.12,1077.82,195,Uptrend for long term,Hold,Hold
03-01-2024,1699,1747.400024,1610,1697.25,8064214,1608.36,1550.71,1192.4,1085.14,196,Uptrend for long term,Hold,Hold
04-01-2024,1706.550049,1723,1675.050049,1692.5,1492988,1621.54,1557.16,1207.85,1092.22,197,Uptrend for long term,Hold,Hold
05-01-2024,1695,1700,1660,1674,871729,1631.96,1559.66,1223.71,1099.25,198,Uptrend for long term,Hold,Hold
08-01-2024,1685.300049,1714,1665,1680.05,1137776,1648.96,1566.14,1239.79,1106.31,199,Uptrend for long term,Hold,Hold
09-01-2024,1698.050049,1725,1679.050049,1683.4,939531,1661.31,1573.81,1256.5,1113.43,200,Uptrend for long term,Hold,Hold
10-01-2024,1704,1755,1691,1723.25,2417233,1679.14,1586.78,1273.54,1121.15,201,Uptrend for long term,Hold,Hold
11-01-2024,1739,1762.050049,1702,1714.15,985473,1694.94,1601.1,1289.52,1128.81,202,Uptrend for long term,Hold,Hold
12-01-2024,1725.599976,1746.099976,1705.099976,1710.7,620508,1696.86,1611.22,1305.5,1136.58,203,Uptrend for long term,Hold,Hold
15-01-2024,1725,1727.099976,1685,1694.8,687285,1697.19,1619.63,1321.79,1143.58,204,Uptrend for long term,Hold,Hold
16-01-2024,1693.5,1693.800049,1660,1666.8,961314,1696.16,1626.74,1337.29,1150.05,205,Uptrend for long term,Hold,Hold
17-01-2024,1653,1656.949951,1605.099976,1615,1151828,1686.87,1630.9,1351.53,1156.04,206,Uptrend for long term,Hold,Hold
18-01-2024,1615,1629,1565.650024,1588.25,994211,1673.28,1637.7,1364.77,1162.21,207,Uptrend for long term,Hold,Hold
19-01-2024,1610,1619.150024,1562.75,1570.75,796187,1651.49,1640.26,1377.54,1168.08,208,Uptrend for long term,Hold,Hold
23-01-2024,1740,1745,1632,1680.9,1594674,1646.74,1647.65,1392.22,1175.1,209,Uptrend for long term,Hold,Hold
24-01-2024,1687.949951,1687.949951,1629,1641.35,9489231,1636.84,1649.71,1406.29,1181.71,210,Uptrend for long term,Hold,Hold
